                 MCMC no.              Sample_1(BP)              Sample_2(BP)              Sample_3(BP)              Sample_4(BP)              Sample_5(BP)              Sample_6(BP)              Sample_7(BP)              Sample_8(BP)              Sample_9(BP)             Sample_10(BP)             Sample_11(BP)             Sample_12(BP)             Sample_13(BP)             Sample_14(BP)             Sample_15(BP)             Sample_16(BP)             Sample_17(BP)             Sample_18(BP)             Sample_19(BP) 
                       62                     14378                     13061                     11951                     10028                      9702                      9196                      8852                      6249                      5426                      5251                      5120                      4213                      4094                      3608                      2614                      2021                      1702                      1478                       601 
                       63                     14376                     13061                     11956                     10026                      9694                      9192                      8844                      6251                      5423                      5254                      5123                      4214                      4099                      3610                      2611                      2018                      1704                      1489                       604 
                       64                     14376                     13063                     11956                     10025                      9695                      9200                      8851                      6247                      5413                      5257                      5124                      4212                      4102                      3612                      2608                      2022                      1703                      1495                       606 
                       65                     14384                     13063                     11951                     10016                      9699                      9201                      8848                      6246                      5407                      5257                      5123                      4210                      4101                      3609                      2609                      2025                      1701                      1492                       604 
                       66                     14374                     13062                     11956                     10015                      9696                      9198                      8851                      6252                      5419                      5257                      5121                      4205                      4103                      3615                      2610                      2032                      1705                      1494                       611 
                       67                     14376                     13062                     11951                     10019                      9697                      9200                      8854                      6256                      5421                      5256                      5122                      4199                      4098                      3609                      2607                      2039                      1705                      1503                       610 
                       68                     14373                     13066                     11952                     10019                      9706                      9202                      8850                      6251                      5420                      5254                      5120                      4198                      4101                      3608                      2612                      2035                      1704                      1502                       607 
                       69                     14381                     13067                     11955                     10019                      9701                      9197                      8855                      6250                      5419                      5243                      5117                      4194                      4100                      3609                      2612                      2028                      1700                      1500                       609 
                       70                     14382                     13074                     11953                     10023                      9706                      9197                      8855                      6253                      5421                      5231                      5121                      4199                      4097                      3611                      2606                      2035                      1702                      1499                       610 
                       71                     14378                     13070                     11950                     10026                      9710                      9201                      8857                      6252                      5420                      5223                      5115                      4192                      4100                      3609                      2603                      2036                      1704                      1499                       613 
                       72                     14369                     13069                     11955                     10031                      9713                      9200                      8867                      6251                      5421                      5228                      5115                      4189                      4097                      3616                      2601                      2031                      1703                      1504                       611 
                       73                     14365                     13069                     11964                     10026                      9706                      9210                      8869                      6251                      5423                      5236                      5113                      4195                      4099                      3621                      2606                      2022                      1705                      1503                       613 
                       74                     14371                     13060                     11969                     10028                      9706                      9212                      8873                      6246                      5424                      5235                      5116                      4191                      4102                      3624                      2601                      2020                      1706                      1509                       613 
                       75                     14368                     13066                     11968                     10029                      9704                      9216                      8874                      6250                      5420                      5233                      5117                      4191                      4100                      3625                      2603                      2025                      1704                      1509                       609 
                       76                     14364                     13068                     11970                     10023                      9706                      9216                      8872                      6248                      5421                      5229                      5119                      4201                      4098                      3626                      2601                      2021                      1701                      1510                       611 
                       77                     14365                     13067                     11973                     10025                      9699                      9204                      8863                      6245                      5425                      5224                      5108                      4196                      4095                      3627                      2605                      2021                      1701                      1513                       609 
                       78                     14367                     13074                     11970                     10026                      9701                      9209                      8868                      6249                      5421                      5228                      5111                      4194                      4093                      3631                      2603                      2021                      1699                      1515                       608 
                       79                     14360                     13073                     11968                     10024                      9699                      9207                      8869                      6252                      5416                      5225                      5116                      4195                      4096                      3632                      2608                      2019                      1700                      1512                       608 
                       80                     14362                     13073                     11958                     10024                      9705                      9208                      8862                      6248                      5415                      5226                      5108                      4194                      4100                      3631                      2612                      2023                      1699                      1511                       601 
                       81                     14359                     13071                     11954                     10021                      9703                      9212                      8864                      6252                      5413                      5230                      5112                      4196                      4095                      3635                      2606                      2021                      1701                      1513                       604 
                       82                     14363                     13070                     11956                     10020                      9703                      9215                      8863                      6249                      5413                      5230                      5114                      4199                      4100                      3634                      2612                      2020                      1705                      1516                       603 
                       83                     14364                     13072                     11961                     10024                      9706                      9224                      8867                      6248                      5417                      5227                      5111                      4201                      4101                      3635                      2614                      2022                      1704                      1510                       601 
                       84                     14365                     13069                     11959                     10023                      9706                      9220                      8863                      6248                      5417                      5230                      5114                      4193                      4100                      3635                      2614                      2018                      1703                      1506                       604 
                       85                     14362                     13064                     11961                     10031                      9700                      9223                      8864                      6256                      5412                      5234                      5108                      4192                      4099                      3634                      2614                      2021                      1704                      1498                       606 
                       86                     14364                     13064                     11962                     10035                      9701                      9225                      8858                      6257                      5411                      5225                      5115                      4191                      4102                      3633                      2614                      2018                      1703                      1494                       607 
