                 MCMC no.              Sample_1(BP)              Sample_2(BP)              Sample_3(BP)              Sample_4(BP)              Sample_5(BP)              Sample_6(BP)              Sample_7(BP)              Sample_8(BP)              Sample_9(BP)             Sample_10(BP)             Sample_11(BP)             Sample_12(BP)             Sample_13(BP)             Sample_14(BP)             Sample_15(BP)             Sample_16(BP)             Sample_17(BP)             Sample_18(BP)             Sample_19(BP) 
                      264                     14409                     13065                     11952                     10042                      9717                      9285                      8859                      6264                      5477                      5292                      5097                      4211                      4104                      3599                      2618                      2020                      1703                      1492                       609 
                      265                     14409                     13064                     11952                     10048                      9712                      9285                      8862                      6261                      5481                      5303                      5092                      4210                      4102                      3599                      2608                      2018                      1703                      1487                       612 
                      266                     14407                     13056                     11955                     10048                      9711                      9292                      8854                      6257                      5484                      5307                      5088                      4208                      4097                      3593                      2608                      2015                      1701                      1488                       614 
                      267                     14411                     13053                     11959                     10040                      9701                      9290                      8855                      6254                      5485                      5311                      5079                      4208                      4099                      3597                      2611                      2009                      1699                      1492                       618 
                      268                     14412                     13047                     11947                     10044                      9706                      9294                      8861                      6254                      5483                      5312                      5078                      4210                      4099                      3599                      2615                      2013                      1702                      1491                       614 
                      269                     14409                     13044                     11950                     10056                      9705                      9292                      8865                      6265                      5479                      5312                      5087                      4206                      4099                      3594                      2616                      2011                      1704                      1497                       618 
                      270                     14415                     13044                     11955                     10048                      9711                      9298                      8862                      6261                      5486                      5309                      5092                      4202                      4102                      3588                      2614                      2006                      1701                      1493                       622 
                      271                     14411                     13040                     11957                     10050                      9711                      9304                      8855                      6261                      5482                      5310                      5092                      4197                      4096                      3592                      2625                      2002                      1702                      1489                       616 
                      272                     14401                     13034                     11952                     10052                      9709                      9302                      8854                      6261                      5495                      5313                      5093                      4196                      4100                      3594                      2623                      2000                      1703                      1485                       614 
                      273                     14401                     13034                     11953                     10049                      9707                      9302                      8854                      6259                      5496                      5308                      5090                      4200                      4104                      3589                      2618                      2012                      1702                      1483                       609 
                      274                     14406                     13045                     11953                     10050                      9715                      9305                      8854                      6258                      5492                      5310                      5095                      4197                      4101                      3582                      2613                      2011                      1703                      1482                       610 
                      275                     14396                     13047                     11966                     10043                      9731                      9309                      8850                      6254                      5496                      5311                      5098                      4190                      4102                      3573                      2611                      2017                      1707                      1485                       602 
                      276                     14387                     13044                     11966                     10041                      9740                      9302                      8844                      6255                      5487                      5306                      5100                      4196                      4110                      3567                      2615                      2013                      1703                      1483                       609 
                      277                     14391                     13053                     11974                     10036                      9746                      9311                      8843                      6258                      5491                      5305                      5097                      4200                      4113                      3573                      2606                      2014                      1702                      1487                       600 
                      278                     14390                     13052                     11969                     10034                      9757                      9316                      8850                      6262                      5494                      5309                      5096                      4202                      4115                      3566                      2604                      2020                      1701                      1490                       618 
                      279                     14396                     13046                     11971                     10026                      9749                      9316                      8854                      6258                      5496                      5301                      5103                      4216                      4121                      3569                      2602                      2019                      1702                      1494                       620 
                      280                     14397                     13049                     11972                     10029                      9737                      9315                      8859                      6261                      5495                      5296                      5103                      4220                      4116                      3569                      2612                      2032                      1702                      1498                       618 
                      281                     14394                     13054                     11973                     10026                      9735                      9326                      8861                      6258                      5493                      5284                      5104                      4220                      4114                      3560                      2605                      2039                      1704                      1497                       617 
                      282                     14396                     13061                     11965                     10024                      9729                      9320                      8864                      6249                      5497                      5274                      5104                      4226                      4124                      3559                      2612                      2032                      1702                      1500                       613 
                      283                     14392                     13058                     11969                     10040                      9731                      9308                      8860                      6253                      5484                      5266                      5100                      4211                      4120                      3558                      2606                      2029                      1700                      1499                       605 
                      284                     14394                     13055                     11966                     10044                      9744                      9307                      8853                      6258                      5482                      5269                      5097                      4214                      4123                      3561                      2609                      2027                      1702                      1486                       601 
                      285                     14393                     13063                     11972                     10041                      9751                      9308                      8865                      6250                      5482                      5269                      5095                      4213                      4112                      3560                      2609                      2032                      1700                      1485                       606 
                      286                     14393                     13060                     11973                     10049                      9743                      9314                      8864                      6242                      5489                      5273                      5096                      4211                      4112                      3567                      2611                      2042                      1699                      1483                       608 
                      287                     14395                     13068                     11959                     10054                      9737                      9317                      8863                      6246                      5495                      5264                      5103                      4212                      4118                      3568                      2614                      2041                      1699                      1485                       603 
                      288                     14405                     13076                     11958                     10050                      9733                      9317                      8867                      6238                      5493                      5267                      5101                      4210                      4120                      3573                      2606                      2048                      1701                      1482                       609 
                      289                     14409                     13085                     11947                     10053                      9735                      9318                      8869                      6232                      5491                      5265                      5097                      4214                      4118                      3583                      2608                      2052                      1702                      1480                       606 
                      290                     14406                     13084                     11954                     10046                      9731                      9314                      8873                      6233                      5487                      5263                      5094                      4212                      4117                      3586                      2614                      2052                      1703                      1479                       613 
                      291                     14408                     13079                     11958                     10043                      9733                      9309                      8872                      6236                      5478                      5273                      5094                      4215                      4122                      3577                      2608                      2055                      1699                      1478                       610 
                      292                     14409                     13082                     11952                     10039                      9726                      9311                      8875                      6245                      5472                      5278                      5086                      4214                      4119                      3579                      2611                      2050                      1702                      1483                       610 
                      293                     14404                     13071                     11944                     10046                      9723                      9313                      8876                      6247                      5466                      5273                      5084                      4215                      4119                      3581                      2603                      2048                      1702                      1485                       606 
                      294                     14401                     13073                     11948                     10041                      9721                      9305                      8880                      6249                      5464                      5269                      5087                      4216                      4118                      3579                      2605                      2045                      1702                      1487                       607 
                      295                     14406                     13076                     11950                     10044                      9717                      9308                      8880                      6246                      5457                      5260                      5086                      4217                      4113                      3584                      2607                      2047                      1701                      1494                       600 
                      296                     14409                     13090                     11950                     10038                      9720                      9319                      8873                      6248                      5446                      5266                      5081                      4218                      4114                      3580                      2612                      2039                      1701                      1493                       604 
                      297                     14406                     13095                     11957                     10025                      9720                      9321                      8870                      6249                      5443                      5264                      5083                      4215                      4116                      3575                      2613                      2038                      1702                      1494                       612 
                      298                     14406                     13092                     11957                     10030                      9721                      9327                      8865                      6246                      5450                      5258                      5087                      4211                      4117                      3568                      2611                      2039                      1705                      1491                       606 
                      299                     14404                     13086                     11958                     10034                      9716                      9329                      8870                      6250                      5449                      5259                      5083                      4212                      4113                      3565                      2612                      2041                      1703                      1491                       606 
                      300                     14409                     13083                     11961                     10038                      9714                      9335                      8863                      6261                      5458                      5268                      5089                      4210                      4118                      3560                      2615                      2048                      1698                      1488                       611 
                      301                     14409                     13072                     11966                     10038                      9728                      9334                      8861                      6260                      5459                      5262                      5086                      4215                      4115                      3558                      2612                      2049                      1702                      1482                       612 
                      302                     14410                     13062                     11966                     10035                      9733                      9338                      8870                      6266                      5461                      5266                      5084                      4214                      4113                      3560                      2615                      2057                      1702                      1483                       618 
                      303                     14409                     13058                     11975                     10045                      9741                      9343                      8864                      6260                      5454                      5276                      5082                      4225                      4108                      3549                      2621                      2062                      1701                      1485                       616 
                      304                     14416                     13060                     11979                     10054                      9743                      9339                      8868                      6263                      5456                      5276                      5084                      4220                      4112                      3552                      2620                      2063                      1703                      1485                       624 
                      305                     14417                     13051                     11983                     10039                      9743                      9352                      8862                      6254                      5453                      5270                      5086                      4223                      4113                      3553                      2615                      2077                      1701                      1483                       608 
                      306                     14419                     13057                     11979                     10040                      9739                      9351                      8854                      6255                      5453                      5271                      5088                      4232                      4117                      3545                      2612                      2083                      1701                      1478                       605 
                      307                     14425                     13068                     11977                     10034                      9741                      9344                      8856                      6260                      5452                      5273                      5096                      4222                      4118                      3545                      2610                      2072                      1702                      1471                       609 
                      308                     14416                     13071                     11969                     10036                      9737                      9344                      8855                      6259                      5444                      5276                      5092                      4212                      4117                      3538                      2611                      2079                      1703                      1472                       612 
                      309                     14410                     13064                     11974                     10031                      9747                      9338                      8856                      6261                      5446                      5275                      5092                      4216                      4116                      3541                      2610                      2070                      1707                      1465                       615 
                      310                     14406                     13065                     11986                     10034                      9741                      9338                      8863                      6264                      5437                      5282                      5096                      4217                      4116                      3544                      2616                      2070                      1700                      1465                       612 
                      311                     14406                     13062                     11978                     10034                      9742                      9338                      8865                      6263                      5439                      5294                      5089                      4210                      4116                      3556                      2619                      2067                      1705                      1466                       607 
                      312                     14406                     13062                     11981                     10032                      9746                      9337                      8865                      6261                      5444                      5291                      5089                      4212                      4117                      3554                      2610                      2076                      1700                      1465                       606 
                      313                     14405                     13065                     11977                     10024                      9752                      9335                      8860                      6262                      5448                      5295                      5085                      4208                      4114                      3550                      2612                      2077                      1706                      1472                       605 
                      314                     14400                     13061                     11975                     10017                      9739                      9329                      8867                      6247                      5447                      5300                      5095                      4207                      4113                      3550                      2613                      2078                      1701                      1475                       608 
                      315                     14398                     13057                     11982                     10024                      9734                      9329                      8861                      6255                      5446                      5302                      5095                      4209                      4117                      3548                      2623                      2085                      1702                      1465                       604 
                      316                     14401                     13057                     11979                     10027                      9736                      9326                      8866                      6260                      5452                      5308                      5085                      4207                      4122                      3545                      2618                      2078                      1702                      1462                       599 
                      317                     14406                     13055                     11983                     10027                      9741                      9322                      8865                      6259                      5449                      5308                      5092                      4213                      4119                      3546                      2612                      2071                      1703                      1467                       604 
                      318                     14401                     13045                     11978                     10025                      9744                      9324                      8864                      6258                      5453                      5305                      5089                      4212                      4115                      3545                      2608                      2071                      1704                      1470                       604 
                      319                     14412                     13048                     11979                     10026                      9747                      9325                      8872                      6268                      5453                      5297                      5084                      4202                      4115                      3543                      2609                      2076                      1700                      1481                       603 
                      320                     14415                     13049                     11967                     10029                      9741                      9324                      8861                      6265                      5453                      5301                      5081                      4196                      4110                      3547                      2606                      2078                      1698                      1480                       602 
                      321                     14418                     13048                     11971                     10032                      9749                      9332                      8871                      6266                      5456                      5309                      5084                      4197                      4119                      3551                      2609                      2082                      1701                      1480                       604 
                      322                     14421                     13046                     11972                     10040                      9754                      9328                      8877                      6262                      5464                      5316                      5081                      4206                      4118                      3555                      2603                      2073                      1701                      1480                       606 
                      323                     14429                     13043                     11972                     10045                      9760                      9328                      8878                      6258                      5461                      5325                      5087                      4199                      4117                      3552                      2599                      2067                      1702                      1475                       609 
                      324                     14432                     13039                     11980                     10043                      9770                      9329                      8877                      6258                      5463                      5327                      5096                      4200                      4118                      3560                      2597                      2069                      1701                      1464                       607 
                      325                     14430                     13038                     11973                     10041                      9777                      9324                      8876                      6265                      5469                      5328                      5092                      4189                      4121                      3562                      2595                      2059                      1702                      1464                       605 
                      326                     14426                     13034                     11976                     10038                      9768                      9321                      8884                      6261                      5475                      5332                      5090                      4187                      4114                      3567                      2599                      2056                      1705                      1468                       606 
                      327                     14431                     13033                     11974                     10029                      9759                      9316                      8880                      6261                      5482                      5325                      5090                      4185                      4115                      3571                      2596                      2056                      1696                      1470                       609 
                      328                     14426                     13033                     11969                     10034                      9760                      9321                      8878                      6261                      5486                      5323                      5099                      4181                      4117                      3564                      2598                      2054                      1702                      1467                       609 
                      329                     14431                     13033                     11973                     10034                      9766                      9318                      8884                      6256                      5489                      5319                      5097                      4181                      4114                      3557                      2592                      2050                      1703                      1460                       607 
                      330                     14426                     13031                     11978                     10027                      9762                      9317                      8895                      6257                      5494                      5334                      5102                      4187                      4111                      3557                      2598                      2050                      1703                      1467                       607 
                      331                     14429                     13033                     11969                     10032                      9758                      9331                      8909                      6258                      5499                      5326                      5105                      4190                      4108                      3559                      2591                      2039                      1706                      1466                       611 
                      332                     14436                     13036                     11965                     10030                      9767                      9328                      8905                      6255                      5497                      5325                      5105                      4193                      4107                      3562                      2587                      2036                      1700                      1458                       606 
                      333                     14433                     13032                     11961                     10030                      9764                      9329                      8908                      6257                      5504                      5331                      5112                      4191                      4113                      3556                      2583                      2038                      1703                      1456                       611 
                      334                     14435                     13039                     11963                     10032                      9769                      9331                      8914                      6258                      5508                      5340                      5109                      4192                      4115                      3557                      2590                      2040                      1700                      1453                       603 
                      335                     14445                     13044                     11974                     10035                      9769                      9341                      8907                      6263                      5509                      5338                      5113                      4187                      4118                      3562                      2588                      2041                      1699                      1450                       608 
                      336                     14445                     13032                     11968                     10028                      9769                      9345                      8905                      6265                      5504                      5339                      5105                      4189                      4119                      3563                      2584                      2037                      1703                      1448                       605 
                      337                     14450                     13029                     11968                     10032                      9765                      9340                      8905                      6261                      5495                      5332                      5113                      4185                      4112                      3567                      2587                      2042                      1700                      1451                       606 
                      338                     14454                     13022                     11963                     10027                      9775                      9338                      8905                      6262                      5495                      5339                      5113                      4185                      4116                      3561                      2590                      2038                      1705                      1454                       602 
                      339                     14457                     13016                     11967                     10022                      9777                      9338                      8906                      6268                      5490                      5341                      5110                      4189                      4122                      3569                      2584                      2034                      1703                      1452                       603 
                      340                     14469                     13018                     11969                     10021                      9781                      9341                      8909                      6261                      5488                      5334                      5115                      4184                      4115                      3577                      2591                      2039                      1701                      1450                       607 
                      341                     14465                     13013                     11968                     10017                      9788                      9341                      8906                      6262                      5478                      5340                      5106                      4188                      4117                      3577                      2590                      2028                      1698                      1460                       606 
                      342                     14462                     13016                     11966                     10018                      9784                      9334                      8905                      6259                      5477                      5345                      5112                      4187                      4121                      3574                      2597                      2029                      1704                      1455                       608 
                      343                     14462                     13021                     11967                     10026                      9779                      9332                      8906                      6262                      5481                      5344                      5113                      4181                      4118                      3571                      2599                      2037                      1700                      1454                       607 
                      344                     14468                     13015                     11972                     10030                      9777                      9333                      8910                      6261                      5482                      5336                      5120                      4174                      4119                      3574                      2598                      2038                      1702                      1449                       599 
                      345                     14475                     13019                     11975                     10030                      9782                      9333                      8908                      6265                      5474                      5332                      5119                      4166                      4123                      3565                      2599                      2045                      1703                      1458                       598 
                      346                     14475                     13017                     11977                     10034                      9775                      9335                      8913                      6261                      5471                      5342                      5119                      4164                      4112                      3570                      2596                      2045                      1699                      1452                       603 
                      347                     14485                     13017                     11964                     10033                      9772                      9336                      8917                      6263                      5476                      5345                      5117                      4159                      4115                      3563                      2598                      2047                      1703                      1457                       609 
                      348                     14491                     13017                     11967                     10035                      9766                      9337                      8913                      6260                      5481                      5348                      5113                      4162                      4118                      3564                      2599                      2047                      1703                      1458                       605 
                      349                     14492                     13022                     11966                     10042                      9761                      9332                      8905                      6258                      5479                      5349                      5114                      4161                      4116                      3573                      2597                      2052                      1703                      1456                       607 
                      350                     14491                     13033                     11963                     10037                      9767                      9326                      8905                      6260                      5480                      5347                      5108                      4160                      4116                      3580                      2595                      2046                      1700                      1450                       604 
