         Cal_age(BP)           Mean SL(m)       95%CI_lower(m)       95%CI_upper(m) 
                6575               3.0848              2.36388              3.88281 
                6550              3.15033              2.41909              3.89078 
                6525              3.22389               2.5235              4.01353 
                6500              3.28794              2.54637              4.05371 
                6475              3.35587              2.58288              4.10536 
                6450              3.42181              2.62653              4.19284 
                6425              3.49374              2.74185               4.2912 
                6400              3.56027              2.80823              4.34475 
                6375              3.63016              2.84612              4.44596 
                6350              3.69792              2.91346              4.52702 
                6325              3.76743              2.96868              4.55346 
                6300              3.83618              3.05007              4.60963 
                6275              3.89849              3.11171              4.72416 
                6250              3.95067              3.17324              4.74243 
                6225              3.97591              3.19571              4.77381 
                6200                3.991              3.23748              4.76349 
                6175              4.00486              3.29069              4.73012 
                6150              4.01684               3.3127              4.73402 
                6125              4.03166              3.36493              4.73332 
                6100              4.04473               3.3714               4.7154 
                6075              4.05765              3.42435              4.72269 
                6050               4.0689                3.454              4.71147 
                6025              4.08298              3.47548              4.71434 
                6000              4.09869              3.50449              4.70958 
                5975              4.11406              3.52902              4.71847 
                5950               4.1237              3.57648                4.705 
                5925               4.1407              3.59916              4.71268 
                5900              4.14866              3.63396              4.65868 
                5875              4.16072              3.66149              4.68183 
                5850              4.17477              3.68121              4.69227 
                5825              4.19037              3.70744              4.66697 
                5800              4.20067              3.71441              4.68039 
                5775              4.21387              3.74675              4.69001 
                5750              4.22989              3.74592              4.71081 
                5725              4.24267              3.76384              4.70409 
                5700              4.25687              3.79149              4.73631 
                5675              4.27342               3.8175              4.76936 
                5650              4.28712              3.82375              4.77312 
                5625              4.30031              3.81712               4.7985 
                5600              4.31333              3.83792              4.81854 
                5575              4.32406              3.85575               4.8316 
                5550               4.3335              3.83804              4.83641 
                5525              4.34826              3.86781               4.8481 
                5500              4.36353                3.883               4.8785 
                5475              4.37408              3.88895              4.89746 
                5450              4.38793               3.9037              4.90056 
                5425              4.40095              3.95876              4.89083 
                5400              4.41678              3.99415              4.88837 
                5375              4.42991              4.03122              4.84605 
                5350              4.44876              4.07836              4.85324 
                5325              4.46241              4.10707              4.82244 
                5300              4.46856              4.09209              4.79671 
                5275              4.45587               4.0271              4.78653 
                5250              4.41616               3.8689              4.83703 
                5225              4.35006              3.68452              4.84363 
                5200              4.26844              3.42786              4.91944 
                5175              4.17953              3.24072              4.96815 
                5150              4.10636              3.09475              5.02137 
                5125              4.05124              2.88012              5.06026 
                5100              4.01173              2.77531              5.07632 
                5075              4.00376              2.73153              5.10838 
                5050              4.01985              2.77837              5.06951 
                5025              4.03906              2.83379              5.06179 
                5000              4.06091              2.89616              5.06011 
                4975               4.0827              2.97312              5.07599 
                4950              4.10383              3.01247              5.04455 
                4925               4.1274              3.06325              5.05014 
                4900              4.15456              3.12634              5.03391 
