                 Age (BP)                  Sample_1                  Sample_2                  Sample_3                  Sample_4                  Sample_5                  Sample_6                  Sample_7                  Sample_8                  Sample_9                 Sample_10                 Sample_11                 Sample_12                 Sample_13                 Sample_14                 Sample_15                 Sample_16                 Sample_17                 Sample_18                 Sample_19 
                     7960                         0              3.36909e-290              8.43984e-229              5.50624e-119              1.33984e-101               3.40903e-74               2.32955e-52                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     7970                         0              4.71511e-289              8.39944e-229              7.70609e-118              1.87514e-100               3.39272e-74                2.3184e-52                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     7980                         0              4.69254e-289              1.17552e-227               7.6692e-118              1.86616e-100               4.74817e-73               3.24464e-51                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     7990                         0              6.56729e-288              1.16989e-227              1.07332e-116               2.61173e-99               4.72545e-73               3.22911e-51                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8000                         0              6.53586e-288              1.63729e-226              1.06818e-116               2.59922e-99               6.61335e-72               4.51921e-50                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8010                         0              9.14706e-287              1.62945e-226              1.49494e-115               3.63766e-98                6.5817e-72               4.49758e-50                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8020                         0              9.10328e-287              2.28045e-225              1.48779e-115               3.62025e-98               9.21121e-71               6.29444e-49                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8030                         0              1.27402e-285              2.26953e-225              2.08219e-114               5.06661e-97               9.16712e-71               6.26432e-49                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8040                         0              1.26792e-285              3.17625e-224              2.07222e-114               5.04236e-97               1.28296e-69               8.76703e-48                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8050                         0              1.77448e-284              3.16105e-224              2.90011e-113               7.05688e-96               1.27682e-69               8.72506e-48                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8060                         0              1.76599e-284              4.42395e-223              2.88623e-113               7.02311e-96               1.78693e-68               1.22109e-46                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8070                         0              2.47154e-283              4.40277e-223              4.03933e-112               9.82896e-95               1.77837e-68               1.21525e-46                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8080                         0              2.45971e-283              6.16176e-222                 4.02e-112               9.78192e-95               2.48887e-67               1.70076e-45                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8090                         0              3.44241e-282              6.13227e-222              5.62606e-111                 1.369e-93               2.47695e-67               1.69262e-45                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8100                         0              3.42593e-282              8.58223e-221              5.59913e-111               1.36245e-93               3.46654e-66               2.36885e-44                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8110                         0              4.79465e-281              8.54115e-221              7.83609e-110               1.90677e-92               3.44995e-66               2.35751e-44                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8120                         0               4.7717e-281              1.19535e-219              7.79858e-110               1.89764e-92               4.82828e-65               3.29938e-43                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8130                         0              6.67809e-280              1.18963e-219              1.09143e-108               2.65579e-91               4.80517e-65               3.28359e-43                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8140                         0              6.64613e-280              1.66491e-218               1.0862e-108               2.64307e-91               6.72492e-64               4.59545e-42                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8150                         0              9.30137e-279              1.65694e-218              1.52016e-107               3.69903e-90               6.69273e-64               4.57345e-42                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8160                         0              9.25685e-279              2.31892e-217              1.51289e-107               3.68133e-90                9.3666e-63               6.40063e-41                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8170                         0              1.29552e-277              2.30782e-217              2.11731e-106               5.15209e-89               9.32177e-63                  6.37e-41                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8180                         0              1.28931e-277              3.22983e-216              2.10718e-106               5.12743e-89                1.3046e-61               8.91494e-40                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8190                         0              1.80442e-276              3.21438e-216              2.94904e-105               7.17593e-88               1.29836e-61               8.87227e-40                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8200                         0              1.79578e-276              4.49858e-215              2.93492e-105               7.14159e-88               1.81707e-60               1.24169e-38                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8210                         0              2.51323e-275              4.47705e-215              4.10748e-104               9.99478e-87               1.80838e-60               1.23575e-38                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8220                         0               2.5012e-275              6.26572e-214              4.08782e-104               9.94694e-87               2.53086e-59               1.72945e-37                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8230                         0              3.50048e-274              6.23573e-214              5.72098e-103               1.39209e-85               2.51874e-59               1.72117e-37                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8240                         0              3.48373e-274              8.72702e-213              5.69359e-103               1.38543e-85               3.52503e-58               2.40882e-36                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8250                         0              4.87554e-273              8.68525e-213              7.96829e-102               1.93894e-84               3.50816e-58               2.39729e-36                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8260                         0               4.8522e-273              1.21552e-211              7.93015e-102               1.92966e-84               4.90973e-57               3.35505e-35                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8270                         0              6.79075e-272               1.2097e-211              1.10984e-100               2.70059e-83               4.88623e-57               3.33899e-35                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8280                         0              6.75824e-272                1.693e-210              1.10453e-100               2.68767e-83               6.83837e-56               4.67298e-34                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8290                         0               9.4583e-271              1.68489e-210               1.54581e-99               3.76144e-82               6.80564e-56               4.65061e-34                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8300                         0              9.41302e-271              2.35804e-209               1.53841e-99               3.74343e-82               9.52463e-55               6.50862e-33                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8310                         0              1.31737e-269              2.34675e-209               2.15303e-98               5.23901e-81               9.47904e-55               6.47746e-33                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8320                         0              1.31107e-269              3.28432e-208               2.14273e-98               5.21393e-81               1.32661e-53               9.06533e-32                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8330                         0              1.83486e-268               3.2686e-208               2.99879e-97                 7.297e-80               1.32026e-53               9.02194e-32                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8340                         0              1.82608e-268              4.57448e-207               2.98443e-97               7.26207e-80               1.84773e-52               1.26264e-30                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8350                         0              2.55563e-267              4.55258e-207               4.17677e-96               1.01634e-78               1.83888e-52               1.25659e-30                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8360                         0               2.5434e-267              6.37142e-206               4.15678e-96               1.01148e-78               2.57355e-51               1.75863e-29                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8370                         0              3.55953e-266              6.34092e-206               5.81749e-95               1.41558e-77               2.56124e-51               1.75021e-29                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8380                         0               3.5425e-266              8.87425e-205               5.78965e-95                1.4088e-77                3.5845e-50               2.44945e-28                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8390                         0              4.95779e-265              8.83177e-205               8.10272e-94               1.97165e-76               3.56734e-50               2.43773e-28                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8400                         0              4.93406e-265              1.23602e-203               8.06394e-94               1.96221e-76               4.99256e-49               3.41165e-27                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8410                         0              6.90531e-264              1.23011e-203               1.12856e-92               2.74615e-75               4.96866e-49               3.39532e-27                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8420                         0              6.87226e-264              1.72156e-202               1.12316e-92               2.73301e-75               6.95374e-48               4.75181e-26                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8430                         0              9.61786e-263              1.71332e-202               1.57189e-91               3.82489e-74               6.92046e-48               4.72907e-26                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8440                         0              9.57183e-263              2.39782e-201               1.56436e-91               3.80659e-74               9.68531e-47               6.61842e-25                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8450                         0               1.3396e-261              2.38634e-201               2.18935e-90                5.3274e-73               9.63896e-47               6.58674e-25                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8460                         0              1.33318e-261              3.33973e-200               2.17888e-90                5.3019e-73               1.34899e-45               9.21827e-24                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8470                         0              1.86582e-260              3.32375e-200               3.04938e-89                7.4201e-72               1.34253e-45               9.17415e-24                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8480                         0              1.85688e-260              4.65165e-199               3.03478e-89               7.38458e-72                1.8789e-44               1.28394e-22                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8490                         0              2.59875e-259              4.62938e-199               4.24723e-88               1.03349e-70               1.86991e-44               1.27779e-22                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8500                         0              2.58631e-259              6.47891e-198               4.22691e-88               1.02854e-70               2.61697e-43                1.7883e-21                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8510                         0              3.61959e-258               6.4479e-198               5.91564e-87               1.43946e-69               2.60444e-43               1.77974e-21                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8520                         0              3.60226e-258              9.02396e-197               5.88732e-87               1.43257e-69               3.64497e-42               2.49078e-20                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8530                         0              5.04143e-257              8.98076e-197               8.23942e-86               2.00491e-68               3.62752e-42               2.47885e-20                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8540                         0               5.0173e-257              1.25687e-195               8.19998e-86               1.99531e-68               5.07679e-41                3.4692e-19                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8550                         0              7.02181e-256              1.25086e-195                1.1476e-84               2.79248e-67               5.05249e-41                3.4526e-19                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8560                         0               6.9882e-256               1.7506e-194               1.14211e-84               2.77911e-67               7.07105e-40               4.83198e-18                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8570                         0              9.78012e-255              1.74222e-194               1.59841e-83               3.88942e-66               7.03721e-40               4.80885e-18                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8580                         0              9.73331e-255              2.43827e-193               1.59075e-83               3.87081e-66               9.84871e-39               6.73008e-17                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8590                         0               1.3622e-253               2.4266e-193               2.22629e-82               5.41727e-65               9.80157e-39               6.69787e-17                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8600                         0              1.35568e-253              3.39608e-192               2.21563e-82               5.39134e-65               1.37175e-37               9.37379e-16                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8610                         0              1.89729e-252              3.37982e-192               3.10082e-81               7.54528e-64               1.36518e-37               9.32892e-16                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8620                         0              1.88821e-252              4.73012e-191               3.08598e-81               7.50916e-64                1.9106e-36                1.3056e-14                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8630                         0              2.64259e-251              4.70748e-191               4.31889e-80               1.05092e-62               1.90145e-36               1.29935e-14                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8640                         0              2.62994e-251              6.58821e-190               4.29822e-80               1.04589e-62               2.66112e-35               1.81847e-13                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8650                         0              3.68065e-250              6.55668e-190               6.01544e-79               1.46375e-61               2.64838e-35               1.80976e-13                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8660                         0              3.66303e-250               9.1762e-189               5.98664e-79               1.45674e-61               3.70646e-34                2.5328e-12                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8670                         0              5.12648e-249              9.13228e-189               8.37842e-78               2.03873e-60               3.68872e-34               2.52067e-12                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8680                         0              5.10195e-249              1.27808e-187               8.33832e-78               2.02898e-60               5.16243e-33               3.52773e-11                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8690                         0              7.14027e-248              1.27196e-187               1.16696e-76               2.83959e-59               5.13772e-33               3.51085e-11                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8700              4.90183e-314               7.1061e-248              1.78014e-186               1.16138e-76                 2.826e-59               7.19034e-32                4.9135e-10                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8710              4.90183e-314              9.94511e-247              1.77162e-186               1.62537e-75               3.95504e-58               7.15593e-32               4.88998e-10                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8720              9.80365e-313              9.89751e-247              2.47941e-185               1.61759e-75               3.93611e-58               1.00149e-30               6.84362e-09                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8730              1.32349e-312              1.38518e-245              2.46754e-185               2.26385e-74               5.50866e-57               9.96693e-31               6.81086e-09                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8740              2.89208e-312              1.37855e-245              3.45337e-184               2.25301e-74               5.48229e-57               1.39489e-29               9.53193e-08                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8750              2.84306e-312               1.9293e-244              3.43684e-184               3.15313e-73               7.67257e-56               1.38821e-29               9.48631e-08                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8760              4.70575e-312              1.92007e-244              4.80992e-183               3.13804e-73               7.63585e-56               1.94283e-28               1.32763e-06                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8770              3.77441e-312              2.68717e-243               4.7869e-183               4.39175e-72               1.06865e-54               1.93353e-28               1.32127e-06                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8780              4.46066e-312              2.67431e-243              6.69936e-182               4.37073e-72               1.06354e-54               2.70602e-27               1.84915e-05                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8790              5.53906e-312              3.74274e-242              6.66729e-182               6.11692e-71               1.48844e-53               2.69306e-27               1.84029e-05                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8800              5.53906e-312              3.72483e-242              9.33101e-181               6.08764e-71               1.48132e-53               3.76899e-26               0.000257553                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8810              6.22532e-312              5.21297e-241              9.28635e-181               8.51977e-70               2.07313e-52               3.75095e-26                0.00025632                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
                     8820              7.69587e-312              5.18802e-241              1.29964e-179               8.47899e-70               2.06321e-52               5.24953e-25                0.00358725                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0                         0 
