                 Age (BP)                  Sample_1                  Sample_2                  Sample_3                  Sample_4                  Sample_5                  Sample_6                  Sample_7                  Sample_8                  Sample_9                 Sample_10                 Sample_11                 Sample_12                 Sample_13                 Sample_14                 Sample_15                 Sample_16                 Sample_17                 Sample_18                 Sample_19 
                      410                         0                         0                         0                         0                         0                         0                         0                         0              1.07772e-288              7.01477e-278              1.36041e-269               5.4048e-217              2.21719e-211              8.80669e-182              3.50427e-126               6.10781e-88               1.57321e-74               3.55454e-59               1.74986e-12 
                      420                         0                         0                         0                         0                         0                         0                         0                         0              1.50828e-287               9.8173e-277              1.90391e-268              7.56413e-216                3.103e-210              1.23251e-180              4.90429e-125               6.07858e-88               1.56568e-74               3.53752e-59               2.44897e-11 
                      430                         0                         0                         0                         0                         0                         0                         0                         0              1.50107e-287              9.77031e-277               1.8948e-268              7.52792e-216              3.08815e-210              1.22661e-180              4.88081e-125               8.50708e-87               2.19119e-73               4.95083e-58               2.43725e-11 
                      440                         0                         0                         0                         0                         0                         0                         0                         0              2.10077e-286              1.36737e-275              2.65181e-267              1.05355e-214              4.32192e-209              1.71667e-179               6.8308e-124               8.46637e-87               2.18071e-73               4.92714e-58               3.41097e-10 
                      450                         0                         0                         0                         0                         0                         0                         0                         0              2.09071e-286              1.36083e-275              2.63912e-267               1.0485e-214              4.30123e-209              1.70845e-179               6.7981e-124               1.18488e-85               3.05194e-72               6.89562e-57               3.39465e-10 
                      460                         0                         0                         0                         0                         0                         0                         0                         0                2.926e-285              1.90451e-274               3.6935e-266               1.4674e-213              6.01966e-208              2.39101e-178              9.51407e-123               1.17921e-85               3.03733e-72               6.86262e-57               4.75087e-09 
                      470                         0                         0                         0                         0                         0                         0                         0                         0              2.91199e-285              1.89539e-274              3.67582e-266              1.46038e-213              5.99084e-208              2.37957e-178              9.46853e-123               1.65033e-84                4.2508e-71               9.60436e-56               4.72813e-09 
                      480                         0                         0                         0                         0                         0                         0                         0                         0              4.07538e-284              2.65263e-273              5.14438e-265              2.04383e-212               8.3843e-207              3.33025e-177              1.32514e-121               1.64243e-84               4.23046e-71               9.55839e-56               6.61711e-08 
                      490                         0                         0                         0                         0                         0                         0                         0                         0              4.05588e-284              2.63994e-273              5.11975e-265              2.03404e-212              8.34417e-207              3.31431e-177               1.3188e-121               2.29861e-83                5.9206e-70               1.33771e-54               6.58544e-08 
                      500                         0                         0                         0                         0                         0                         0                         0                         0              5.67628e-283              3.69464e-272               7.1652e-264              2.84668e-211              1.16778e-205              4.63844e-176              1.84568e-120               2.28761e-83               5.89226e-70               1.33131e-54               9.21644e-07 
                      510                         0                         0                         0                         0                         0                         0                         0                         0              5.64911e-283              3.67696e-272               7.1309e-264              2.83306e-211              1.16219e-205              4.61623e-176              1.83684e-120               3.20155e-82               8.24634e-69                1.8632e-53               9.17233e-07 
                      520                         0                         0                         0                         0                         0                         0                         0                         0              7.90603e-282              5.14597e-271              9.97983e-263              3.96492e-210              1.62651e-204              6.46051e-175               2.5707e-119               3.18623e-82               8.20687e-69               1.85428e-53               1.28368e-05 
                      530                         0                         0                         0                         0                         0                         0                         0                         0              7.86819e-282              5.12134e-271              9.93206e-263              3.94594e-210              1.61873e-204              6.42959e-175               2.5584e-119               4.45919e-81               1.14857e-67                2.5951e-52               1.27754e-05 
                      540                         0                         0                         0                         0                         0                         0                         0                         0              1.10117e-280              7.16742e-270              1.39001e-261              5.52242e-209              2.26544e-203              8.99833e-174              3.58052e-118               4.43785e-81               1.14307e-67               2.58268e-52               0.000178794 
                      550                         0                         0                         0                         0                         0                         0                         0                         0               1.0959e-280              7.13311e-270              1.38336e-261              5.49599e-209               2.2546e-203              8.95526e-174              3.56339e-118               6.21085e-80               1.59975e-66               3.61451e-51               0.000177939 
                      560                         0                         0                         0                         0                         0                         0                         0                         0              1.53373e-279              9.98293e-269              1.93604e-260              7.69174e-208              3.15535e-202              1.25331e-172              4.98703e-117               6.18112e-80               1.59209e-66               3.59721e-51                0.00249028 
