         Cal_age(BP)     Mean rate(mm/yr)   95%CI_lower(mm/yr)   95%CI_upper(mm/yr) 
                9725               1.1156             -1.70776              4.14229 
                9700              1.66382             -1.48347               4.4459 
                9675              1.98287             -1.61119              5.43288 
                9650              2.19621             -1.55875              6.41902 
                9625              2.23549             -1.68983              6.61886 
                9600              2.22047             -1.77978              6.50668 
                9575              2.06731             -2.07416              6.59621 
                9550              2.12414             -1.66739              6.20784 
                9525              2.24489             -1.80675              6.26451 
                9500              2.15952             -1.55166              5.96363 
                9475              1.98177             -2.16153              5.74327 
                9450              2.00611             -1.81436              5.73016 
                9425              2.07666             -1.77495              5.70526 
                9400              2.02713             -1.59653              5.60191 
                9375              2.07159             -1.64511              5.73419 
                9350              2.09477             -1.24449              5.40238 
                9325              2.10848             -1.19311              5.82447 
                9300              2.33457             -1.26808              5.95302 
                9275               2.4943            -0.914951                 5.92 
                9250              2.81629             -0.90491              6.69214 
                9225              3.16078            -0.878488              6.92869 
                9200               3.5191            -0.445354              7.99357 
                9175              3.56831            -0.712371              8.15022 
                9150              3.68321            -0.327309              7.68297 
                9125              3.63238            -0.693613              8.43896 
                9100              3.77837            -0.435836              8.21455 
                9075               3.9572            -0.432275              8.48291 
                9050              3.89061            -0.198487              8.50094 
                9025              3.83024             -0.51295              7.99107 
                9000              3.68927            -0.416555               8.1751 
                8975              3.43096            -0.373329              7.33159 
                8950               3.0712            -0.245953              6.60621 
                8925               3.0143            -0.201341              6.35426 
                8900              2.81962            -0.307063              6.17962 
                8875              2.66138            -0.361533              5.93967 
                8850              2.77879            -0.124423              5.95517 
                8825              2.53822            0.0218696              5.26234 
                8800                2.473           -0.0382552              4.99265 
                8775              2.39189            -0.516937              5.14335 
                8750              2.32089            -0.434796              4.97136 
                8725              2.25513            -0.685243              5.41692 
                8700              2.33021            -0.905743              5.59172 
                8675              2.29846            -0.797972               5.7425 
                8650               2.3218             -1.28979              5.45366 
                8625              2.21056             -1.04608              5.87655 
                8600              2.18481             -1.56412              5.76943 
                8575              2.19269             -1.49561              5.39314 
                8550              2.40366              -1.0356              5.94033 
                8525              2.27867             -1.37875              5.86061 
                8500              2.14854             -1.88416              6.54438 
                8475              2.26716             -1.31028              6.38915 
                8450              2.23405             -1.97781               6.2213 
                8425              2.27081             -2.08179              6.46764 
                8400              2.28705              -1.8158              6.63269 
                8375              2.26145             -2.13577              6.41576 
                8350              2.20058             -2.39618              6.38496 
                8325              2.04997              -2.3474              6.23316 
                8300               2.1736             -2.07529              6.35371 
                8275              2.27583             -2.36314              6.87023 
                8250              2.22107             -1.81021              6.95293 
                8225              2.20581             -2.46269              6.73359 
                8200              2.20055             -2.47367              6.71601 
                8175              2.14725             -2.79862              7.06898 
                8150              2.24179             -2.84469              7.64695 
                8125              2.25389             -2.30133              7.27957 
                8100              2.38116             -2.74329              7.58352 
                8075              2.06762             -3.10442              6.78552 
                8050              2.15289             -3.05607              7.24456 
                8025              2.22842             -2.57426              6.88614 
                8000              2.18574             -2.82053              6.63199 
                7975               2.3206              -2.9828              7.31631 
                7950              2.31962              -2.6347               7.3371 
                7925              2.03617              -3.1112              6.87794 
                7900              2.14341              -2.6209               7.1113 
                7875              2.31394             -2.88632              7.28865 
                7850              2.02166             -3.06996              7.03063 
                7825              2.12355             -2.55194              7.77325 
                7800               2.1526             -2.66182              7.17882 
                7775              2.10437             -2.93224              7.49588 
                7750              2.42189             -2.63572              7.50886 
                7725              2.35058             -2.84382              7.81013 
                7700               2.2115             -2.76665              7.47523 
                7675              2.23789             -3.37746              7.34453 
                7650              2.13542             -2.75409              7.64248 
                7625              2.22553             -2.79926              7.81725 
                7600              2.24588             -3.04954              6.83172 
                7575              2.16081             -3.35897              7.29575 
                7550              2.26001             -3.29868              7.54182 
                7525              2.37736             -3.13883              7.37453 
                7500              2.03241             -3.54179              7.37964 
                7475              2.17743             -3.51205              7.85616 
                7450              2.22205             -2.78122              7.45208 
                7425              2.29329             -2.61904               7.3169 
                7400              2.32953             -2.59024              7.66159 
                7375              2.27352             -3.05031              7.31817 
                7350              1.93131             -3.88426              7.15524 
                7325              2.29995             -2.68626              7.09606 
                7300              2.23799             -3.25423              7.10062 
                7275               2.0704             -2.75338              7.11175 
                7250              2.28715             -2.82952              7.51578 
                7225              2.37354             -2.61356              7.20936 
                7200              2.25651             -2.34722              7.08198 
                7175              2.11112             -3.04285              7.35197 
                7150              2.17275             -2.99186               6.6085 
                7125              2.04425             -2.83099              6.84747 
                7100              2.08413             -3.19001               6.8773 
                7075               2.4535             -2.51233              7.00641 
                7050              2.32067             -2.27607              7.22178 
                7025              2.13629             -2.57502              6.93377 
                7000              2.15784             -2.74264              6.73773 
                6975              2.10518             -3.23262              7.32116 
                6950               2.3641              -2.7251              7.00766 
                6925              2.35353             -2.74112              7.12468 
                6900              2.13058             -2.66422              7.42384 
                6875              2.22571              -2.0791              6.34424 
                6850              2.12363             -2.26491              6.53841 
                6825              1.95094             -2.66933              6.36495 
